wolof_word,word_type,english_meaning,wolof_phrase,english_phrase
fireeku,va,"to be undo braids, be broad",Fireeku na,I have undone my braids
fir-firi,adj,"run in a confused manner, run about, Children do when they play",Mungee fir-firi kom ku jappa,He is running like a busy person
firi,v,"to spread, undo, flower",Bul firi darab bi,Do not spread the bed sheet
firndé,n,"translation, puzzle",Yaa wara def firndé ci soose,You should translate in mandinka
fit,n,courage,Yow danga am fit,You have courage
fita,v,"to sweep, shoot with arrows, wipe, a blow",Bi ñoo xeex deni doon fita wante,They were shooting each other with blows
fitaxu,v,to write,Biiram beey meeti moo tax muy fitaxu,He's stomach is paining thats why he is writhing
fitna,n,"worry, trouble",Fitna baaxut ci bena bërëb,Worriness is not good in one place
fiw,adj,form of a stomach up set,Dafa fiw,He has a stomach up set
fo,conj,"only, or, whether, if",,
fo,int,tag question maker,,
fo,n,must,,
fo,postp,"to, till, expect, upto",,
fo,v,"to play, joke, say, kid, tell, till",Damaa fo,Iam kidding
fo,adv,"much, so",,
fob/fab,v,"to pick up, take, carry",Naa fob suma doóm gi te ñibi,Let me pick up my child and go home
foee/foyee,v,to joke with,Bul ko foee,Don't joke with him
fog,n,must,,
fog/foog,v,"to think, to estimate, to speculate",Foog na ne dina doy,He thinks it will be enough
fogga,v,"to knock, to dust",Fogga naa bunta bi ballaa maa dugga,"I knocked the door, before I entered"
fokat,n,"joker, jester, (indicate adultery/unserious person)",Kooku fokat la,That person is a joker
fóla,v,"to slip in unexpectedly, to go through, to appear, penetrate",Dafa fóla ci ganáaw,It went through the back
fompa,v,"to wipe, to clean",Bérëb yi dënu ken wara fompa be ňu set,We should wipe the places clean
fómpu,v,to wipe,Yeén ñep fompu ngeen ci sagar bi,You all wiped yourself with the cloth
fónax,va,"to be dirty, to be rotten",Fii dafa fónax,This place is dirty
fonde,n,"porridge, pap",Jëndal ma fonde ci cëlo bi,Buy pap for me at the junction
fonka,v,"to respect, to revere",Danga wara fonka sa boopa njëkka,You should first give yourself respect
foo,adv,"where, a contraction of ""fan"" and ""nga""",Foo demom,
foo,v,"to miss, lose, fail",,
foo,adj,"be every dirty, fail to fire(gun)",,
foo,vn,"saying, telling",,
foofu,dem,there,Foofu leñoo yoobu gan yi,It's there we are taking the guests
fooj,v,"to forge, pretend",Dafaa fooj ne dafa feebar pur baña ligéey,He is pretending that he is sick to avoid work
fooli,v,"to demote, to dethrone",Deñu ko fóli,He is demoted
fooma,v,to cancel,Deñu buggoona fooma suñu tukki bi,We wanted to cancel our traveling plains
fóon,v,"to kiss, smell",Nun duñuy fóon ante ci biir nit ñi,We do not kiss each other in public
foor,adj,"be important, be influencial, be honourabl, powerful concerning people/things/places, etc",Nijaayam ku foor la ci nguur gi,His uncle is very influencial in the government
fóót,v,"to do laundary, wash clothes",Sa yéré yi laay fóót tey,Iam laundaring your clothes today
fooxa,v,to pluck,Boñam bi la fooxa,He pulled his tooth out
fooy,adj,where are you?,Fooy fanaan?,Where are you spending the night?
for,v,"to pick, collect, scavenge",For naa benna xale ci mbedda mi,I picked a child on the street
foraatu,n,"picking up things, scavenging",Ganaar gangee foraatu lekka,The chicken is scavenging food
forog,n,frock,ñawal ma forog ak tubéy,Sew a frock and pants for me
forot,adj,fraud,Nguur gi buggut forot,The government dislikes fraud
forox,va,to be sour,Maango bu norut dafay forox,An unripe mango is sour
foroxal,va,to be make become sour,Yangee foroxal sa domodaa bi,You are making your peanut sauce sour
forse,v,to force,Ligéey bu aanda ak forse duy baax,A forceful job is not efficient
fóxale,va,to be greedy,Yow danga fóxale torop,You are very greedy
foxoj,adj,"dislocation, sprain",Foxoj dafa meéti,Sprain is painful
foxoju,v,"to have a sprain, have a dislocation",Dafa foxoju,He has a sprain
föt,v,"to choke, -Indicate that fish bone choked you",Yaxa ma föt,I am choked by a bone
fu,adv,"where, Contraction of ""fan moo""",Fu lekka bi nekka,Where is the food located
fu nekka,n,everywhere,wór neñu fu nekka,We have roamed everywhere
fudda,v,"to iron, throw, stretch, press",Fudda na ko ci mbalit mi,He threw it at the trash bin
fuddan,n,henna,Fuddan dafaa dee rafetal téstan,Henna makes the heel look beautiful
fuddanu,v,"to apply hanna on palm, foot to show femininity",Nungee fuddanu pur parel xew gi,They are applying henna to prepare for the feast
fuddu,v,to stretch oneself,Yangee fuddu xanaa danga tayi?,"You are stretching, are you tired?"
fufu,n,cassava dough,Fufu mooy lekka bi ma genaa neex,Fufu is my favourite dish
fukka,n,ten,Fukka la binda,He wrote ten
fukkeel,n,tenth,Lii mooy suma fukkeel yoon,This is my tenth time
fulaar,n,"scarf, head tie",Fulaar bi rafet na waay deñu seer,These scarf is nice but it is expensive
fulééku,va,to be be flayed,Lutax lii fulééku?,Why is this flayed?
fuli,v,to flay,Dinaa fuli der bi,I will flay the skin
fulla,adj,"dignity, self respect",Nit dafa wara am fulla,A person should have self respect
funki,va,to be swollen,Biiram beey funki,His stomach is swelling
furi,v,"to fade, loose value",Piis bii dina furi soo ko footeé,This fabric will fade if you wash it
furno,n,"coal pot, habachi",Mooy toogee furno bi,She's the one cooking with the coal pot
furset,n,fork,Jox ma furset bi,Give me the fork
fusal,v,to fart,Xale bi fusal na,The child has farted
futeéku,v,to be undressed,Waa ji futeéku na,The man has undressed
futi,v,to undress,Mungee futi xale bi,He is undressing the child
futta,n,blister,Tankaam bi futa na,Her foot has blistered
fuuf,v,to blow air,Fuuf na balum bi,She blew air into the balloon
fuur,n,"bakary, oven",Fuur bii moo dee defar mbuuru yu rafet,This bakary makes the bread beautiful
fuur,v,to roast(slang),Mungee fuur ganaar gi,She's roasting the chicken
fuuy,va,to be proud,Ku dafa fuuy torop,This person is very proud
fuxi,v,"to pull off from, to pull off, to unplug",Fuxi na buteel bi,He pulled the bottle
fuy,adj,where is?,Fuy meeti ci sa yaram wi?,Which part of your body is aching?
fuy,v,to massage,,
gaa,n,"people, folk",Gaa ñi jiitu neñu la,The folks went before you
gaacaayoo,va,"to be be equipped, to be armed",Ba moo dem munga gaacaayoo,When he was leaving he was well equipped
gaace,va,"to be shame, disgrace",Lii gaace gu mag la,This is a big disgrace
gaadaay,v,to desert,Dafa gaadaay ci karem dipi daaw,He deserted his compound since last year
gaadam,n,spleen,Gaadam ci biiri bi lay nekka,The spleen is an organ in the stomach
gaaf,adj,"ill-fated, ill-lock, forbidding",Bul takka jigeen ju am gaaf,Do not marry an ill-fated woman
gaaganti,v,"to rectify, prompt",Naa ko gaaganti balaa muy sori,Let me prompt him before he goes far
gaaka,v,to stain,Suma mbubba bi dafa gaaka,My dress is stained
gaaka-gaaka,n,"stain, spots",Neég bangi amee ag gaaka-gaaka,The house is having some stains
gaal,n,"boat, ship","Sunuy tukki, gaal leñu dugga",If we are travelling we will board a boat
gaalaaj,n,"amulet, talisman",Gaalaaj yu dëgër la sol,He wears powerful amulets
gaalankoo,n,difficulty,Lii gaalankoo la,This is a difficult
gaamo,n,"inter-rival relationship, muslim feast",Gaamo bangee jegë,The muslim feast is approaching
gaanaar,n,Mauritania,Kii naar gaanaar la,This person is a Mauritanian moore
gaanaay,n,"weapon, among, artilery",Rébabi am na gaanaay yu bari,The hunter has many weapons
gaanga,v,"to be optimistic, forebode",Aattekat dafa doon gaanga,The judge was being optimistic
gaan,v,"to hurt, wound",Yangee gaan xale bi,You are hurting the child
gaañe,v,to hurt intensionally,Lir dafa dee gaañe,Theis thing usually hurts
gaañu,verb,"to be hurt, dead",Ki febaroon gaañu na.,The sick person is dead.
gaañu gaañu,noun,"a wound, injury",Danga bari gaañu gaañu.,You have too many injuries.
gaapa/haar,verb,"to wait for, siege",Dina ko gaapa ci bunta bi ellëk.,He will wait for him at the gate tomorrow.
gaar,verb,"to patch, repair, train station, mend",Gaar na bunti wonag yi yep.,He has repaired all the bathroom doors.
gaaraas,noun,"car park, garage",Uti naa moto ci gaaraas bi.,He's gone to get a vehicle in the car park.
gaaral,verb,"to hint, insinuate",Moo ma gaaral woxtaan gi.,She hinted me on the discussion.
gaare,verb,"to park, garage",Gaare nga moto bi ci mango bi.,He has parked the car under the mango tree.
gaas,verb,to wet,Nun ñooy gaas peron bi.,We are going to wet the floor.
gaata,adjective,"be short, short",Musu ku gaata la.,Musu is a short person.
gaaw,adjective,be quick,,
gaaw,noun,"quick, swiftly",,
gaawantu,verb,"to hurry, make a haste",Mungee gaawantu pur muna aanda ak nün.,He is hurrying to be able to go with us.
gaddu,verb,"to carry on one's shoulder, assume responsibility, to assume",Moo gaddu saakos bi.,He carried the bag.
gafaka,noun,"a pouch, a sachet",Mangi amee gafaka.,I am having a pouch.
gag,verb,to have a gap in memory,,
Yugaja,verb,"to cut, scratch",Dafa ma gaja ak weyam yi.,He scratched me with his nails.
gala,verb,to vomit,Liir bi gala na la.,The baby vomited on you.
galan,noun,"piece of music, cross",Ku galan yoón wi?,Who put the cross on the road?
galaxndeku,verb,to rinse the mouth,Mungee yalaxndeku.,She is rinsing her mouth.
gal-gal,verb,"to encourage, instigate",Moo maa gal-gal.,She is the one encouraging me.
gallox,noun,clots,Bimaa tooga ruy dafa doon gallox.,When I was cooking pap it was clotting.
gamba,noun,gourd,Jox ma gamba gi balaa muutoc.,Give me the gourd before it breaks.
gam-gami,adjective,"doze, drouse",Mungee gam-gami.,You are drowsy/half asleep.
gan,noun,"stranger, guest",Tey la suma gan giiy dellu.,My guests are returning today.
ganaar,noun,"chicken, a timid (slang)",Ganaar leñu dee reeree.,We have chicken for dinner everyday.
ganaaw,preposition,behind,Kama bangi ci ganaw neégiji.,The toilet is behind the houses.
ganaawkër,noun,back-yard,Ganaaw-kër yaa du yaatu.,The back yards should be wide.
ganale,verb,"to entertain a guest, express hospitality especially to a visitor, guest/stranger",Mungee ganale ganam bi.,She is entertaining her guest.
gancax,noun,young shoot,Fuloor bangee gancax.,The flower is sprouting.
ganda,noun,penis,Ganda gu ema baax te saf.,A sizeable penis is good and tasty.
gandax,noun,waves,Dëmba gandax gi dafa bari woon torop.,Yesterday the waves were too much.
gantu,verb,to refuse,Dama yooñi mu gantu.,"I sent him, he refused."
gañaxu,verb,to make a face,Looy gañaxu!,Why are you making faces?
gaññ/niin,verb,to grimace,Dafa gaññ bi mu ko xalaate.,She grimaced when she thought of it.
ganlgen,noun,"bandit group, group of pepelor, bandits",Gaņi saccakat yi marse leñu dekka.,The group of thieves live at the market.
gapareku,noun,sit on bended knees,"Munuma gapareku, dafa deey meeti.","I cannot squat, it hurts."
gar,verb,to gather one's harvest,Mungee gar gerteem bi.,He is harvesting his peanuts.
garaaw,verb,to be serious,Loolu dafas garaaw.,That is serious.
garab,noun,"tree, medicine",Ci ron garab gee fiix.,Under the tree is airy and cool.
garanti,verb,"to guarantee, guaranteed",Boosama ko garanti.,His boss guaranteed him.
garan-palaas,noun,"bantaba, chatting place, vous",Góor ñi ñep a am garan-palaas.,All the men have there vous or comp place.
garde,verb,"to guard, watch, secure",Garde i ma suma bagaas.,Guard my things or luggages for one.
gardekat,noun,"guard, watcher, security",Man gardekat laa ci Peace Corps office bi.,I am a guard at the Peace Corps office.
gargamboose,noun,nettle,Garganboose dafa am dég.,Nettle has a thorn.
garolemaa,noun,"spare, protection",Damay d3eñca lii pur gardemaa.,I am keeping this for spare.
gase,verb,to wager,Dinaa gase ne du now.,I'll wager that he won't come.
gaskat,noun,digger,Laamin gaskat la.,Lamin is a digger.
gasu/gasukaay,noun,"shovel, digging tool",Damal aabali ma gasukaay.,Go! Lend! A shovel for me.
gat,noun,"a lie, anus, ass",Dafa am gat gu réy.,She has a big ass.
gatal,verb,"to excrete, imperative (to force someone to talk) an insult",Gatal pur nga muna oyof.,Make a good stool so you can be free.
gatandu,verb,to block,Bul ko gatandu.,Do not block his way.
gato,noun,peanut cake,Gato dafay bari suukur.,Peanut cake has too much sugar.
gatul,exclamation,get to hell (it is an insult) profane,Yow gatul.,You get to hell.
gaynde,noun,"lion, brave man, hero",Gaynde nga.,You are a lion/hero.
geeda,verb,to reject,Dama ko mey mu geeda.,"I gave him, he rejected."
geej,noun,"ocean, sea",Gaayi sanguji neñu geej.,The guys went swimming at the ocean.
geeja,noun,dried fish,Soo demee marse jendal ma D2.00 geeja.,"If you go to the market, buy me D2.00 dried fish."
geen,noun,"tail, flower (slang)",Xaj bii amut geen.,This dog doesn't have a tail.
geenji,verb,to be broody,Ganaar bangee geenji ci kow nenam yi.,The hen is brooding on its eggs.
geestu,verb,"to look back into oneself, look behind, research, revise",Deñu now def fi gestu.,We came to do research here.
geeta,noun,herd,Suma baay dafa am ay geeta.,My grandparent has many herds.
geéna,verb,to go out,Danga wara geena ci guddi.,You should go out tonight.
geénee,verb,"to take out, subtract",Geenee na siis yi.,She took out the chairs.
geéw,noun,circle,Nep angi toog ci geewbi.,Everyone is sitting in a circle.
gelu,verb,"to be lonely for someone, to miss",Bimu tukkee dafa ma soon gelu.,"When he travelled, he was being lonely for me."
gena,verb,"to be more than, than",Moo la géna rafet.,She more beautiful than you.
gena melax,noun,shiner,,
genawalla,noun,half,"Xaajko ci digga, nga jox ma genawalla bi.","Split it into two, you give me the half."
genso,noun,"underwear (for men), tang-top","Naa sol genso, dafa tanga.","Let me put on a king-top, its hot."
genta,verb,"to dream, migrate",Genta naa xaj demba ci guddi.,I dreamt of a dog yesternight.
geño,noun,a mads belt,Goór gangee laajte geñom gi.,The man is asking for his belt.
ger/dukku,verb,"to bribe, corrupt",Dafa ko ger pur mu utal ko ligeey.,He bribed him so that he will get him a job.
gerees,noun,fat,Yaapa bi dafa bari yerees.,The meat has too much fat.
gerew,verb,"to strike, demonstrate",Deñu gerew pur ñu yooka suñu fey bi.,We striked so that they will increase our salary.
gerte,noun,"peanuts, groundnut",Ren gerte leñu béy.,This year we sown peanuts.
gerte-lakka/saaf,noun,grilled peanuts,Munge uti gerte-lakka.,He is going to get grilled peanuts.
gerte-tubaab,noun,Indian almond,Jendal naa seen doonyi gerte-tubaab.,I bought Indian almond for your children.
gerte-xaaran,noun,raw peanuts,Yeey na gerte-xaraan.,I chewed raw peanut.
gete-bambara,noun,Malian peanut,Sooy ñibsi nga indil ma gerta-bambara.,"If you coming home, bring me Malia-peanuts."
gete-baxal,noun,boiled peanuts,Gerta-baxal dafa saf.,Boiled peanuts are tasty.
gédda,verb,to respond rudely,"Leej na ma, ma gédda ko.","He asked me, I responded rudely to him."
géemeñ,noun,mouth,Demal raxas sa géemeň gi.,Go wash your mouth.
géer,noun,"noble, freeborn",Ñun géer leñu.,We are nobles.
gén,verb,"to be better than, be better, better, be getter than, surpass",Yalla ňu geň.,God surpasses us.
géna,noun,pipe (smoking pipe),,
génaatle,verb,to discriminate,Bul ñu genaatle.,Do not discriminate us.
génee,verb,remove,,
génékat,verb,be stubborn,Yaay géténékat bi.,You are the stubborn one.
gét/nappa,verb,to fish,Moo ñu dee nappal jén.,He fishes for us.
géten,verb,"to be disturbed, to border, perturb",Danga ma dee gétén torop.,You disturb me very much.
gétené,verb,"to be disturbing, be bothering",Kiidefa géténé.,This person is disturbing.
géwël,noun,"griot, praise singers, oral histori",Nii suma géwël i maasm lehu.,these are my grand parents oral historian.
gëf/gof,verb,snatch a bit of sleep,Dafa buggas gëf nelew.,She wants to snatch some sleep.
gëgër,noun,ring worm,Dafa buggas gëgër gi ci yaramam bi.,Cure the ring worm on your body.
gëj,verb,"to be infrequent, for a long time, stay away from a place for a long time",Dama fa dee gëj torop.,I am very infrequent there.
gëjëf,verb,to be soften by soaking,Dugub bi gëjëf na.,The coos is soften.
gëlëm,verb,"to be uncertain of one's way, be lost",Dama don dox ci yoon' bi ma gëlëm.,I was walking on the road and I became uncertain of my way.
gëlëm,noun,camel,Gëlëm bari na Muritani.,There are many camels in Mouritania.
gëm/góm,verb,"to have faith in, believe in, to belief",Man gëm naa yalla.,I believe in God.
gënna,noun,mortar,Indil genna bi.,Bring the mortar.
gërëm,v,to thank,Mangi laa gërëm bu baax.,I am thanking you very much.
gërgéepa,n,"home wears, Fade clothes used for cooking, doing laundry etc..",Suma gërgéepa yi laay foót.,I am washing my home wears.
gërmande,adj,"express gratitude commen,, thanks",Nepa yooneé seen germande.,Everyone sent their thanks.
gësëm,v,"to intimidate, shake, jolt",Dafa doon gësëm ligeeykatam yi.,We were intimidating his workers.
gi,da,the,Banta wu gudda gi.,The long stick.
gii,dem,this very moment,Goór gii ku bon la.,This man is very bad.
giif,va,"to be calm, be smoothed",Giif na bi xuloo gi jeexee.,She calmed down when the quarell finished.
giin,v,to grimace,Yangi giin.,You have grimmaced.
giiru-dunda,adj,duration of life,Duma xeex ci suma giiru dunda.,I will not fight during my life time.
giiru-dundam,adj,duration of one's life,,
giix,v,"to belch, burp",Dafa lekka be suur mootax muy giix.,He ate to his satisfaction thats why he is belching.
Giné Bisaaw,n,Guinea-Bissau,Giné-Basaaw dekka bu neexla.,Guinea-Bissau is a nice country.
Giné-Konaakiri,n,Guinea-Conakary,Pol fuuta yi yep Giné-Konaakiri leñu jogee.,All the pol futuras emerge from Guinea Conakary.
giñ/waat,v,"to swear, vow",Gin naa ci turi yaala.,I swear in the name of God.
giriyaa,n,wire gauze,Giriyaas laa warale taati sorans bi.,Isurrounded the orange sibling with wire gauze.
gis,v,to see,Gis na ko.,I saw it.
gisaan-kat,n,"future teller, fortune teller",Xam naa bena gisaa-kat.,I know one future teller.
gisee,v,"to see each other, consult together",Dingéen gise ci xew gi.,You will see each other at the ceremony.
gis-gis,va,"to be vision, an understanding",,
godoron,n,tar,Suñu tali bi du godoron.,Our street is not tarred.
goj,n,"rope for the well, Gambian urban wollof used ""bummi teen""",Suma teen bi amut goj.,Mywell doesn't have a rope.
golo,n,monkey,Gola bangi ci ron garab gi.,The monkey is under the tree.
gom,n,starch,Gom na footam bi.,She has starched her laundry.
góm,v,to belief,Yow gómuloo ci ken.,You belief in nobody.
góma,v,to close one's eyes,Góma neñu biñu ko gisee.,We closed our eyes when we saw her.
gomadi,va,to be disbelief,Moom ku gómadi yaala la.,He disbelief in God.
gomantu/geméntu,va,to be sleepy,Dame gómantu.,I'm sleepy.
gomee,va,to be have something unexpectey,Gomee-uma suma yere yi.,I don't expect my clothes.
gonga,n,"local fragrants made fror, bamboo bed",Ci gonga laa doon fanaan bima nekko ngeyen.,I used to sleep on gonga bed when I was in ngeyen.
gontu,v,to go to work in the ofternn,Jëkëram gontu na.,Her husband has gone to work in the afternoon.
gon,n,baboon,Gon yangi wari si aala bi.,There are many baboons in the bush.
goob,v,to harvest,Mangee goob suma gerte gi.,I am harvesting my peanuts.
goog,va,to be precocious,Xale bii dafa goog.,This child is precocious.
góom,n,"cut, wound",Soma góom bi wer na.,The wound has healed.
goór,n,a man,Kii goór gu mut la.,This person is a matured man.
goór-goórlu,va,"to be try hard, make an effort",Goór-goórlul cl janga bi.,Try hard in the studies.
goór-jigeén,n,"be womanish, be effeminate",Moom goór-jigeen la.,He is an effeminate.
gopp/péel,n,"long handle, spade, yield",Lii gopp la.,This is a spade.
gor,n,"noble, freeborn",Moom gor la.,He is a freeborn.
gor,v,to cut down,War neñu gor taati garab yi.,We should cut down the trees.
gore,n,"be content, freed from slavery, be honest",Yow goreuloo.,You are not honest.
goro,n,in-law,Amaguma goro.,I don't have yet an inlaw.
gu,rp,"which, who, whom",Goór gu njool gi.,the man who is tall.
gudda,adj,"long, be long",Banta bi gudda na.,The log is long.
guddee,va,to be late at night,Tey guddee ngaa wacca.,Today you came home late at night.
guddi,n,night,Dinaa delusi ci guddi.,I will return back at night.
gumbo,va,"to be blind, blind person",Musoonaa am xariti gumbo.,I once had a blind friend.
gumpa/guppa,v,to wash clothes,Mungee gumpa yereem yi.,She is washing her clothes.
guné/goné,n,child,Gune gú sob la def.,This child is fussy.
gungeé,v,"to convey, accompany, see off",Dafa ma wara gungeé lopitaan.,She should accompany me to the hospital.
gunuur/gunduur,n,beetle,Lii gunuur la.,This is a beetle.
gurment,n,protestant,,
gurmet,n,"catholic, bracelet, christian",Sa xarit yi yep gurmet lenú.,All your friends are christians.
guru,n,kola nut,Guru funekka la dee teewe.,Kolanuts are everywhere.
gutta,n,"jug, karaffe",Mangi am ndox bi galaase ci gutta gi.,I have ice water in the karaffe.
guu,v,"climax, taste, orgasm, feeling",Dama am guu yi dem bore tey.,I have the feeling to go to wrestling today.
guuj,v,to hold water in one's mouth,Wonal ndox gi nga guujal ci sa geméñ gi.,Swallow the water you hold in your mouth.
guus,va,to be humid,Dafa guus torop tey.,It is very humid today.
guux,n,"take a swallow, gulp",Guux nga ko.,You gulped it.
guwernemaa,n,government,Amut ben guwernemaa bu jub.,There is no government that's is straight forward.
guy,inten,be very,Ndox mu sedda guy laa naan.,I drank very cold water.
guy/buy,n,baobab tree,Sii dafa bari guy.,They are many here baobab trees.
guyaab,n,guava,Yeena guyaab yi deñu forox.,Some guavas are sour.
i,adj,some,Meyoon naa ko i mbubba.,I gave her some dresses.
i,op,you,,
i,spn,you,,
i,rm,'s,Suma jabar-i-mag.,My brother's wife.
ibliis,n,"satan, devil",Ibliis a ñu dee dugal ci yoon wu bon.,Satan puts us on the wrong way.
Ibu,n,"Ebou, Short form of Ebriama, man's name, Abraham",Kale Ebu la.,That is Ebou.
ii,ex,an expression of surprise,"Ii! yow, danga dof.",You! are you crazy.
iin,va,"to be tired of something/one, loose esteem for",Jen dafa ma iin.,I am tired of eating fish.
iir,v,"to cover, partition, obscure",Bul ñu lir.,Do not obscure us.
ijji,v,to read syllable by syllable,Mangee ijji araf yi.,I am reading the alphabets syllable by syllable.
ileer,n,"hoe, farming tool",Aaba naa bena ileer pur yooka ko ci li ma am.,I borrowed one hoe to add to what I have.
ilif,v,"to head, command",Mutuloo pur ilif ñu.,You are not fit to be our leader.
illa,n,curticura,Liir gi dafa illa ci boppa.,The child has curticura on the head.
inchaalaaxu,ex,"if its pleases God, An arabic expression",Inchaalaaxu dina la seetsi.,If God pleases I will visit you.
indaale,v,to bring along,Indaale naa ñoom Saam.,I brought along Sam and the other.
indé,n,steamer,Dama faate jenda indé.,I forgot to buy a steamer.
indiji,v,to go fetch,Dafa indiji ndox.,She went to fetch water.
iniwersité,n,university,Amanguñu iniwersité ci Gambia gi.,We do not have yet a university in The Gambia.
isi,v,"to bring, to bring",Isi na bagaas yi.,He brought the luggage.
isin,n,factory,Am neñu ñenenti isin.,We have four factories.
islaam,n,Islam,Mam dama fonka Islaam bi.,I am proud of the Islam.
it,adv,"too, also, equally and also",ñun it bugga neñoo seet.,We also want to look.
itam/tamit,adv,also,Moom itam soona naa leegi.,He is also tired now.
ite,spn,you (emphatic),,
ite,va,to be interest,Ku am ite la ci leggey bi.,He has interest in the job.
ja,da,"the, Remote",Jigeén ja ca bitik ba ku rafet la.,The woman at the shop is a beautiful lady.
ja/je,n,market,Ja bangi ci ganaaw poliis bi.,The market is behind the police station.
jaabal,v,"to pick a lock, to fiddle with",Dafa soon faabal ak masiin bi.,She was fiddling with the machine.
jaada,v,"to make a quick stop while, way to some place, turn(corner)",Dina jaada ci Faatu.,I will make a quick stop to Fatou.
jaadu,va,to be logical,Loolu jaaduut.,That is not logical.
jaaf,n,pubic hair,Jaaf dafa rafet.,Pubic hair is beautiful.
jaahgoro,n,sickness,,
jaaka,n,mosque,Dafa julu ji ci jaaka ja.,He went to pray at the mosque.
jaakaarloo,prep,"opposite, be opposite",Suñu ker yee jaakaarloo.,
jaal,n,gap between the tooth,,
jaala,v,to cross,,
jaale,v,to express condolence,,
jaaleekaay,n,crossing point,,
jaam,n,slave,,
jaama,n,peace,,
jaamba,n,"opium, marijuana",,
jaambaat,v,to complain,,
jaambaatkat,n,complainer,,
jaambu,va,"to be desert, betray",,
jaambuur,va,"to be calm, be quiet, be reserved",,
jaamu,v,"to worship, adore",,
jaan,n,Snake,,
jaandi/jaani,v,to respond to someone rudely,,
jaappa,v,"to perform ablution, hold, catch",,
jaappale,v,"to help, lend a hand",,
jaappandeku,v,to hold unto,,
jaappoo,v,"to be united, fight, hold hands",,
jaar,n,"palm rat, stop by",,
jaaru,n,ring,,
jaaru,v,to warm oneself,,
jaaru-baaram,n,finger-ring,,
jaaru-noppa,n,ear-ring,,
jaas,adj,"inevitable, arrive suddenly",,
jaasi,n,"cutlass, sword",,
jaasiir,adj,baren,,
jaat,n,muslim coffin,,
jaawaatle,v,"to confuse, mistake for, miss each other on the way",,
jaaxaan,v,to lie flat on one's back,,
jaaxal,v,"to surprise, doubt",,
jaaxle,va,to be in a doubt,,
jaay,v,"to sell, spend",,
jaaykat,n,seller,,
jabar,n,"wife, witch doctor",,
jaboot,n,have a large family,,
jadda,v,"to make a quick stop, curve, turn",,
jaf,va,to be in flames,,
jafal,v,"to light a fire, light, set on fire",,
jafandu/jëfandu,v,"to make use of something, serve oneself",,
jafe,va,"to be hard, be in scarcity, be expensive, difficult",,
jafe jafe,n,"difficulty, problem",,
jafeñ,va,to be scarce,,
jafte,n,sickness at early stage of pregnancy,,
jafuur,v,to make people know of a person's witch craft,,
jag,va,"to be in-order, be well-done, be suitable",,
jagadi,va,"to be in a mess, not in order",,
jagal,v,"to make, repair, mend",,
jagle,v,to dedicate something to soe,,
jal,v,"to bunch, pile, heap, a pile",,
jal jali,n,beads worn around the wat,,
jaloore,n,"achievement, a great deal",,
jam,n,shoot,,
jam,v,"to stone at someone, to pierce, to stab",,
jamaale/namaale,n,rivals,,
jamaano,n,"generation, period, time",,
jamba,n,"opium, mix, person's name, surname",Mungee jamba forin,She is mixing the flour
jambaar,n,"warrior, brave man, hero",Musa molloh jambaar la woon,Musa Molloh was a warrior
jambaaryaa,n,"courageous man, bravery",Nit dafa wara jambaaryaa,A person should be courageous
jambajóob,n,peacock,Jambajóob pica bu rafet la,The Peacock is a beautiful bird
jambur,n,peasant,,
jam-jam,n,"a wound, stab, an injury caused by",Jam-jamam bee xoot na,His injury is deep
jamkat,n,a tapper,Waa jii jamkat sënga la,This guy is a palm wine tapper
jampa,va,to be important,Soxla sii dafa ma jampa,This is a problem for me
janaaba,n,"bath, religious purification",Jigeen ñig sey yepa war di sangu janaaba,All married woman should perform the purification bath
janaase,n,cemetary,Janaase bangi ci ganaaw kër yi,The cemetary is behind the compounds
janax/jinax,n,mouse,Janx ji yaaxa na yéré yi,The mouse spelled my clothes
janfaa,adj,"betray, disappoint",Dafa ma jamfaa,He betrayed me
janfaa,n,"betrayal, conspiracy",,
janfaa,v,"to betray, conspire",,
janga,v,"to learn, study, read",Nepa wara janga,Everybody should be educated
jangakat,n,"student, scholar",Dama bari ay jangakat suma kër,I have many students at home
jangale,v,"to teach, facilitate, educate",Maay jangale,I am the teacher
jangalekate,n,"teacher, trainer, lecturer",Moodu jangalekat la ci kow gi,Modou is a teacher in the provinces
jangi,v,to go to school,Xale yi jangi neñu,The children have gone to school
jangoro,n,"disease, illness","Yeena dekka yi, deñu bari ay fason, jangoro",some of the countries have many types of diseases
jangu,n,"church, school",Fii mooy jangu gurmét gi,Here is the christian church
jangukaay,n,school,Dem neñu a jangukaay bi,They went to the school
jankalaar,n,black scorpion,Jankalaara geena ragalur jiit,A black scorpion is more scary than a normal scorpion
jankat,n,grafter,Xam naa bena jankat,I know one grafter
janta,n,the sun,Janta ji feéñut betern,The sun hasn't shown still yet
janxa,n,"girl, virgin, young unmarried woman",Janxa la,She is a young girl
janxatu,v,to puberty for girls,Nii deñuy janxatu,These people ate expressing their puberty
jan,n,graft,Nungi leen jangal ni ñoo jayee mango,They are teaching them how to graft mangoes
jar,n,"be famous, be worthy, sell well, cost",Woykat bi ku jar la,The singer is famous
jara,n,bracelet,Jara bu rager la aaba a yaay am,She borrowed a beautiful bracelet from her mum
jaraaf,n,"the king of cayor, An ancient kingdom in senegal",am na mbootaay buñu tuddee jaraaf,This is a society named after the king of Cayor
